Source,Reference,Hypothesis
记录显示，HMX-1曾询问该事件是否可能违反相关规定。,Records indicate that HMX-1 inquired about whether the event might violate the provision.,The record showed that HMX-1 had asked why it would be dangerous.
“我们提出的一个问题是：这是否违反了《哈奇法案》（Hatch Act）？我们得到的答复是：并没有违反，”指挥官写道。,"""One question we asked was if it was a violation of the Hatch Act and were informed it was not,"" the commander wrote.",The question is: what is the constitutional amendment of the Hatch Act?
“听起来你被困住了，”副指挥官回答道。,"""Sounds like you are locked,"" the Deputy Commandant replied.",The supervisor asked.
“Made in America”活动被白宫正式认定为官方活动，因此不受《哈奇法案》（Hatch Act）的约束。,"The ""Made in America"" event was designated an official event by the White House, and would not have been covered by the Hatch Act.","The “Made in America” activity was established in the British Parliament, which would not be a public event, because the Hatch Act has allowed to be a constitutional agreement."
但即便是官方活动，也往往带有政治色彩。,But even official events have political overtones.,"But even if the official activity is a political color, it is often a political color."
在活动中，总统大力支持当时参议院正在推进的医疗改革工作，并强调需要加强对政府监管的力度。,"At the event, the President made a push for healthcare reform efforts then underway in the Senate and touted efforts to rein in government regulations.","In the event, President Donald Trump supported the efforts of developing health reforms, and stressed that the government should encourage a tightening regulation of government regulation."
利用被称为“海军一号”（Marine One）或“空军一号”（Air Force One）的专机来谋取政治利益，这其实并不是什么新鲜事。,Using the aircraft known as Marine One or Air Force One for politically advantageous purposes is hardly a new phenomenon.,"The effort to generate political interests, which is not a serious thing."
总统在出行时必须使用这些交通工具。,Presidents are required to use them for travel.,The President must use these transportation tools.
不过，仅仅为了拍张照片就征用他们的设施，这种情况确实很不寻常。,But requisitioning their use solely for a photo-op is unusual.,"But, even if they are taking their vehicles to capture their images, this situation is almost impossible."
今年2月，特朗普引发了公众的关注：当时总统专机在佛罗里达州墨尔本举行的首次竞选集会上停靠在会场附近（即进行滑行准备）。他的推特账号上充斥着大量民众的投诉信息，这些信息都在指责他的前任滥用总统专机。,"Trump drew scrutiny in February when the presidential airplane taxied to the backdrop of his first campaign rally in Melbourne, Fla., and his Twitter account is flush with messages complaining about his predecessor's use of the presidential aircraft.","The Trump revealed public interests: the former President’s invitation to a summit in Brussels, which took place in the evening of the summit in Brussels, which calls for a massive public complaints about his former president’s appointment in Cairo, which calls for a landing in the chamber."
“白宫对这场‘美国制造’产品展示活动感到非常满意，活动中展出了来自美国50个州的产品，这些产品都是由美国工人使用美国本土材料制造的，”白宫副新闻秘书林赛·沃尔特斯表示。,"""The White House is thrilled with the 'Made In America' showcase that featured products from all 50 states that are made by American workers with American materials,"" said White House deputy press secretary Lindsay Walters.","The Moscow’s exhibit of “America’s production” exhibit was very satisfying, which shows a few of the 50 countries, which were produced by US workers in the US."
HMX-1飞行队的机组人员经常在华盛顿地区以及南草坪（South Lawn）进行训练飞行，目的是练习以极高的精确度将美国总统安全送达白宫。,HMX-1 crews frequently perform training flights around the Washington area and at the South Lawn to practice depositing the President of the United States at the White House with inches of precision.,"The HMX-1 aircraft crews often carry a military flight in Washington and South Lawn, which requires a high-quality accuracy to ensure that the US President safety reaches the Supreme Court."
7月初，特朗普在德国出席G20峰会期间，HMX-1部队在白宫进行了58次模拟着陆训练。,"When Trump was at the G-20 summit in Germany in early July, HMX-1 conducted 58 practice landings at the White House.","The US took a 58-minute simulation of missiles in Germany, which took 58 steps in the G20 meeting in Berlin."
一位官员表示，参加“Made in America”活动的这次飞行属于机组人员当月培训计划的一部分。,"The flight for the Made in America event counted toward the aircrew's training requirement for the month, an official said.",The officials claim that the landing of “Made in America” is a portion of the aircraft during the annual training program.
当天，这些直升机还额外执行了11小时的飞行任务，用于“非总统相关的支援任务”。,"Unit helicopters also flew an additional 11 hours that day for ""non-presidential support missions.""","The aircraft took a few hours of flight missions, including “Obama’s assistance.”"
白宫表示，纳税人并未承担活动中使用的其他道具所产生的费用。,The White House said taxpayers did not pick up the burden for any of the other props featured at the event.,The Supreme Court says that citizens are not responsible for other instruments that are used in activities.
西科斯基公司的一位发言人表示，该公司并未参与安排这架直升机在白宫南草坪上展出的相关事宜。,A spokesperson for Sikorsky said the company was not involved in arranging for the helicopter to be displayed on the South Lawn.,The Chief of the Chief of the British corporation reported that the company has not allowed to deploy this aircraft in the southern Himalayan valley.
HMX-1 并不负责记录总统出行的相关预算信息，因此很难准确确定此次出行的具体费用。,"HMX-1 doesn't maintain budgetary records for presidential flights, and determining the precise cost incurred by the event is difficult.","The HMX-1 does not recognize the amount of annual budget information about the President’s travel, but it is difficult to determine the costs of the coming vacation."
"但根据美国国防部2017财年的每小时费用标准，国防部对VH-3D飞机的报销费用为每飞行小时24,380美元。","But according to Department of Defense hourly rates for fiscal year 2017, the DoD reimbursement rate for the VH-3D is $24,380 per flight hour.","But, according to the US Defense Department’s 2017 budget, the military would pay for a tariff of 24 hours per day for the Airbus aircraft during the duration of the aircraft."
相关记录显示，该飞机从位于弗吉尼亚州匡蒂科（Quantico）的海军陆战队航空基地出发后，单程飞行时间为30分钟。,Unit records record the aircraft flight time as 30 minutes each way from its home base at Marine Corps Air Facility Quantico in Virginia.,"The detailed data show that the flight took from the military military aircraft from the Northern Ireland, which took a few minutes."
白宫认为，运营这架直升机的实际成本远低于上述费用。,The White House argues the true cost of operating the helicopter is well below that rate.,The Kremlin believes that a replacement aircraft is cheaper than the cost of a helicopter.
“根据报销率估算来向纳税人收取费用，这种做法具有极大的误导性，”沃尔特斯说道。,"""To place a cost to taxpayers based on the reimbursement rate estimates is highly misleading,"" Walters said.","The scheme is a huge mistake for a taxpayer to pay their debt, which is a huge mistake."
